"fid","new_commun","old_commun","date"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-02"
9,"ANALAMPASINA","ANALAMPASINA","2000-02"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-02"
7,"AMBIABE","ANDRORANGAVOLA","2000-02"
14,"ANTARETRA","ANTARETRA","2000-02"
15,"ANTSINDRA","ANTSINDRA","2000-02"
5,"AMPASINAMBO","FASINTSARA","2000-02"
11,"FASINTSARA","FASINTSARA","2000-02"
8,"IFANADIANA","IFANADIANA","2000-02"
3,"KELILALINA","KELILALINA","2000-02"
12,"MAROHARATRA","MAROHARATRA","2000-02"
13,"MAROTOKO","MAROTOKO","2000-02"
1,"RANOMAFANA","RANOMAFANA","2000-02"
10,"TSARATANANA","TSARATANANA","2000-02"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-03"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-03"
9,"ANALAMPASINA","ANALAMPASINA","2000-03"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-03"
7,"AMBIABE","ANDRORANGAVOLA","2000-03"
14,"ANTARETRA","ANTARETRA","2000-03"
15,"ANTSINDRA","ANTSINDRA","2000-03"
5,"AMPASINAMBO","FASINTSARA","2000-03"
11,"FASINTSARA","FASINTSARA","2000-03"
8,"IFANADIANA","IFANADIANA","2000-03"
3,"KELILALINA","KELILALINA","2000-03"
12,"MAROHARATRA","MAROHARATRA","2000-03"
13,"MAROTOKO","MAROTOKO","2000-03"
1,"RANOMAFANA","RANOMAFANA","2000-03"
10,"TSARATANANA","TSARATANANA","2000-03"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-04"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-04"
9,"ANALAMPASINA","ANALAMPASINA","2000-04"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-04"
7,"AMBIABE","ANDRORANGAVOLA","2000-04"
14,"ANTARETRA","ANTARETRA","2000-04"
15,"ANTSINDRA","ANTSINDRA","2000-04"
5,"AMPASINAMBO","FASINTSARA","2000-04"
11,"FASINTSARA","FASINTSARA","2000-04"
8,"IFANADIANA","IFANADIANA","2000-04"
3,"KELILALINA","KELILALINA","2000-04"
12,"MAROHARATRA","MAROHARATRA","2000-04"
13,"MAROTOKO","MAROTOKO","2000-04"
1,"RANOMAFANA","RANOMAFANA","2000-04"
10,"TSARATANANA","TSARATANANA","2000-04"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-05"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-05"
9,"ANALAMPASINA","ANALAMPASINA","2000-05"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-05"
7,"AMBIABE","ANDRORANGAVOLA","2000-05"
14,"ANTARETRA","ANTARETRA","2000-05"
15,"ANTSINDRA","ANTSINDRA","2000-05"
5,"AMPASINAMBO","FASINTSARA","2000-05"
11,"FASINTSARA","FASINTSARA","2000-05"
8,"IFANADIANA","IFANADIANA","2000-05"
3,"KELILALINA","KELILALINA","2000-05"
12,"MAROHARATRA","MAROHARATRA","2000-05"
13,"MAROTOKO","MAROTOKO","2000-05"
1,"RANOMAFANA","RANOMAFANA","2000-05"
10,"TSARATANANA","TSARATANANA","2000-05"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-06"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-06"
9,"ANALAMPASINA","ANALAMPASINA","2000-06"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-06"
7,"AMBIABE","ANDRORANGAVOLA","2000-06"
14,"ANTARETRA","ANTARETRA","2000-06"
15,"ANTSINDRA","ANTSINDRA","2000-06"
5,"AMPASINAMBO","FASINTSARA","2000-06"
11,"FASINTSARA","FASINTSARA","2000-06"
8,"IFANADIANA","IFANADIANA","2000-06"
3,"KELILALINA","KELILALINA","2000-06"
12,"MAROHARATRA","MAROHARATRA","2000-06"
13,"MAROTOKO","MAROTOKO","2000-06"
1,"RANOMAFANA","RANOMAFANA","2000-06"
10,"TSARATANANA","TSARATANANA","2000-06"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-07"
4,"AMBOHIMIERA","AMBOHIMIERA","2000-07"
9,"ANALAMPASINA","ANALAMPASINA","2000-07"
6,"ANDRORANGAVOLA","ANDRORANGAVOLA","2000-07"
7,"AMBIABE","ANDRORANGAVOLA","2000-07"
14,"ANTARETRA","ANTARETRA","2000-07"
15,"ANTSINDRA","ANTSINDRA","2000-07"
