"fid","comm_fkt","new_commun","old_commun","date"
2,"AMBOHIMANGA DU SUD_AMBODIVOASA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
10,"AMBOHIMANGA DU SUD_AMBATOFANOK","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
11,"AMBOHIMANGA DU SUD_AMBODIRAFIA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
12,"AMBOHIMANGA DU SUD_ANTANJONA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
13,"AMBOHIMANGA DU SUD_FALIARIVO","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
95,"AMBOHIMANGA DU SUD_MASOAROVANA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
96,"AMBOHIMANGA DU SUD_AMBILANIBE","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
98,"AMBOHIMANGA DU SUD_AMBOHIMIRAN","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
107,"AMBOHIMANGA DU SUD_MANDROALINA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
108,"AMBOHIMANGA DU SUD_MORARANO","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
109,"AMBOHIMANGA DU SUD_AMBOHIMANGA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
110,"AMBOHIMANGA DU SUD_SAHAMARANA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
111,"AMBOHIMANGA DU SUD_AMBODIMANGA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
112,"AMBOHIMANGA DU SUD_VOHITRARIVO","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
130,"AMBOHIMANGA DU SUD_MAROSATROKA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
131,"AMBOHIMANGA DU SUD_ANDRORANGAV","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
156,"AMBOHIMANGA DU SUD_AMBODIARA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
171,"AMBOHIMANGA DU SUD_SOANIHERENA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
172,"AMBOHIMANGA DU SUD_AMBALAVARY","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
177,"AMBOHIMANGA DU SUD_FASINTSARA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
178,"AMBOHIMANGA DU SUD_NOSIMBOAHAN","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
179,"AMBOHIMANGA DU SUD_AMBALAHERAN","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
193,"AMBOHIMANGA DU SUD_MAROLANANAN","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD","2000-02"
15,"AMBOHIMIERA_ANDEMAKA NORD","AMBOHIMIERA","AMBOHIMIERA","2000-02"
16,"AMBOHIMIERA_MANARINONY","AMBOHIMIERA","AMBOHIMIERA","2000-02"
17,"AMBOHIMIERA_ANTARAMBAKANA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
18,"AMBOHIMIERA_SAHALALONA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
19,"AMBOHIMIERA_ANDRORANGAVOLA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
20,"AMBOHIMIERA_VOHIMENA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
37,"AMBOHIMIERA_TSINJORANO","AMBOHIMIERA","AMBOHIMIERA","2000-02"
38,"AMBOHIMIERA_SAHASOMANGANA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
39,"AMBOHIMIERA_MAROFOTSY","AMBOHIMIERA","AMBOHIMIERA","2000-02"
120,"AMBOHIMIERA_AMBOLO","AMBOHIMIERA","AMBOHIMIERA","2000-02"
121,"AMBOHIMIERA_AMBINANITOMAROSANA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
122,"AMBOHIMIERA_AMBOHIDAZA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
123,"AMBOHIMIERA_AMPANTSONA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
124,"AMBOHIMIERA_AMBOHIMILANJA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
125,"AMBOHIMIERA_AMBOHIMAHAVELONA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
143,"AMBOHIMIERA_AMBOHIMIERA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
144,"AMBOHIMIERA_MAROMANANA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
173,"AMBOHIMIERA_AMBOHIMAHATSINJO","AMBOHIMIERA","AMBOHIMIERA","2000-02"
174,"AMBOHIMIERA_FIADANANA NORD","AMBOHIMIERA","AMBOHIMIERA","2000-02"
175,"AMBOHIMIERA_AMBODIMANGA","AMBOHIMIERA","AMBOHIMIERA","2000-02"
176,"AMBOHIMIERA_FALIARIVO","AMBOHIMIERA","AMBOHIMIERA","2000-02"
8,"ANALAMPASINA_ANALAVORY","ANALAMPASINA","ANALAMPASINA","2000-02"
